epoch,learning_rate,train_ADE_world,train_FDE_world,valid_ADE_world,valid_FDE_world,goal_BCE_loss,traj_MSE_loss
1,9.900000000000001e-05,2.9524154101577658,2.2367214677943963,0,0,0.7131889927677992,0.10578392639619912
2,9.801e-05,2.766713566357953,2.0208138306129997,0,0,0.7131891311668768,0.0945468471808041
3,9.70299e-05,2.8161993886181835,2.112401235238081,0,0,0.7131873330255835,0.09777581744441172
4,9.605960100000001e-05,2.9111828374947217,2.1853307258683006,0,0,0.7131882715806729,0.10356200018125336
5,9.509900499000001e-05,2.879904550154642,2.141116609369836,0,0,0.7131899818559972,0.10179202644563302
6,9.414801494010001e-05,2.882577103776411,2.1450948015736735,0,0,0.7131899569674236,0.10138981977931974
7,9.320653479069902e-05,2.8990241459457557,2.1661282158552146,0,0,0.7131889671232642,0.10274139917841772
8,9.227446944279203e-05,2.7784739958375675,2.068981370343486,0,0,0.7131901442132345,0.09509495088012844
9,9.13517247483641e-05,2.8506036247763764,2.11098998580764,0,0,0.7131873152895671,0.09956203231769728
10,9.043820750088047e-05,2.8833425317497605,2.1261187608249306,0,0,0.7131893502212152,0.10113586895213258
11,8.953382542587167e-05,2.8625813447911126,2.1413946134724267,0,0,0.7131890731904564,0.10047838846403288
12,8.863848717161295e-05,2.824158075201814,2.105595950097209,0,0,0.7131911037026382,0.09859050221968352
13,8.775210229989682e-05,2.8577226398529394,2.12218597034901,0,0,0.7131878360306344,0.10125672984277694
14,8.687458127689785e-05,2.8673147899378906,2.15547942498926,0,0,0.7131880312431149,0.10025037810933299
15,8.600583546412887e-05,2.7847405987734866,2.054899490706441,0,0,0.7131904004841316,0.09439900369996705
16,8.514577710948758e-05,2.850300946503397,2.123429289901311,0,0,0.7131888626261456,0.09843035798974153
17,8.429431933839271e-05,2.841865092266739,2.1313153678760295,0,0,0.7131887886000843,0.09807832972396438
18,8.345137614500879e-05,2.89435887643901,2.1457713207684277,0,0,0.7131905098077728,0.10377114599161759
19,8.26168623835587e-05,2.7902572222413737,2.0670735637988984,0,0,0.7131901333390213,0.09644014349707015
20,8.17906937597231e-05,2.876037075758874,2.160495365374699,0,0,0.7131885409936672,0.102475844238226
21,8.097278682212587e-05,2.8865782385228487,2.149719725686875,0,0,0.7131898794523099,0.10256980548499198
22,8.016305895390461e-05,2.8453428556260527,2.137907744811439,0,0,0.7131913618925141,0.10018026176658346
23,7.936142836436556e-05,2.856589498216124,2.1258482520173234,0,0,0.7131893387654933,0.09966957587203601
24,7.856781408072191e-05,2.764615312322502,2.046370654550449,0,0,0.7131900624531071,0.0937945579010539
25,7.778213593991469e-05,2.9267254937361127,2.1781165104977243,0,0,0.7131892611340779,0.10455121154329035
26,7.700431458051554e-05,2.8133874055681285,2.0601648789480693,0,0,0.7131895160675049,0.09682588274204514
27,7.623427143471038e-05,2.853153771754775,2.1237102577017577,0,0,0.7131901026935112,0.10022237782707302
28,7.547192872036328e-05,2.8526273229919696,2.125322761534736,0,0,0.7131909157590168,0.10047487041708536
29,7.471720943315964e-05,2.8927695971590217,2.154283363117677,0,0,0.7131885275608156,0.10301712106504454
30,7.397003733882805e-05,2.8800773399033246,2.141788980106755,0,0,0.7131889478753253,0.10126752300415097
31,7.323033696543977e-05,2.855394079261819,2.130779772985999,0,0,0.7131887102708584,0.09987018172924475
32,7.249803359578537e-05,2.8901597184830154,2.180183860401555,0,0,0.7131880485720751,0.10377771948714082
33,7.177305325982752e-05,2.8536825462496918,2.129238851219416,0,0,0.7131884010826669,0.10013279445060506
34,7.105532272722923e-05,2.8678951134911044,2.1553458001446435,0,0,0.7131903845507924,0.10031263645829223
35,7.034476949995695e-05,2.8482678615853816,2.1354717695322343,0,0,0.7131884546396209,0.09963284872290565
36,6.964132180495738e-05,2.8708299040081826,2.1063231708163896,0,0,0.7131895185098416,0.10073202906903334
37,6.89449085869078e-05,2.8765415019502267,2.127020568456501,0,0,0.7131880757866836,0.10053043608758144
38,6.825545950103872e-05,2.8222993804556817,2.0933168820800576,0,0,0.7131901571808792,0.0982947215546922
39,6.757290490602833e-05,2.7904010962925283,2.046394948317874,0,0,0.7131894616382878,0.09563218036121349
40,6.689717585696805e-05,2.8883632679929847,2.166651811414262,0,0,0.7131890163189027,0.10283348257721561
41,6.622820409839837e-05,2.8523043117986457,2.114241670597254,0,0,0.7131889035062092,0.0992637758738384
42,6.556592205741439e-05,2.897562629387058,2.1580893655584714,0,0,0.7131901125210087,0.1024921905108523
43,6.491026283684025e-05,2.9093309876412183,2.175016779855984,0,0,0.7131874882302633,0.10357919115209725
44,6.426116020847184e-05,2.8479650265790823,2.144483976206038,0,0,0.7131884805167593,0.09871990771827902
45,6.361854860638712e-05,2.922143385807858,2.2128561932057504,0,0,0.7131889467704586,0.10362253666650958
46,6.298236312032325e-05,2.799499362078584,2.1057941960725115,0,0,0.713189724712837,0.09680880529215423
47,6.235253948912002e-05,2.873268224403021,2.1550025259471703,0,0,0.7131892457822474,0.09953016370716618
48,6.172901409422881e-05,2.8845057961127725,2.151889210261586,0,0,0.7131898984094945,0.10218630453208234
49,6.111172395328652e-05,2.896791821550417,2.164795622522148,0,0,0.7131897433792672,0.1022287842863035
50,6.050060671375366e-05,2.897190269488091,2.166218761525503,0,0,0.7131884684795287,0.1022446781296919
51,5.9895600646616125e-05,2.8072920306668365,2.0523822987624785,0,0,0.7131889503758128,0.09664286710094751
52,5.9296644640149966e-05,2.9076374267235185,2.1943355759360443,0,0,0.7131896286475949,0.10231039659051996
53,5.8703678193748465e-05,2.8705496215920734,2.1497449293151134,0,0,0.713190148981606,0.1009861912278504
54,5.811664141181098e-05,2.8559931627073487,2.1113330612168077,0,0,0.7131889688677904,0.10001990315345366
55,5.753547499769287e-05,2.7957762699526816,2.076033159799692,0,0,0.7131901079852406,0.09608440522195362
56,5.696012024771594e-05,2.8329507418233217,2.08161940480696,0,0,0.7131894857127492,0.09865000340133542
57,5.639051904523878e-05,2.884341929391146,2.1515768239501774,0,0,0.7131879275019576,0.10161282392127849
58,5.5826613854786396e-05,2.941541450553593,2.2011478010401495,0,0,0.7131891582651836,0.10650189634503388
59,5.5268347716238534e-05,2.8911563343334117,2.169081496643584,0,0,0.7131919625328809,0.10334091434845837
60,5.471566423907615e-05,2.8376407324354034,2.1397284742844542,0,0,0.7131892542722749,0.0987613481178698
61,5.416850759668539e-05,2.8094293369487526,2.0787554469086773,0,0,0.7131899979056382,0.09616739072314487
62,5.362682252071853e-05,2.8731568125654467,2.144779383983554,0,0,0.7131878690603303,0.10137849914000892
63,5.309055429551135e-05,2.831686170384006,2.121786977427035,0,0,0.7131879837338517,0.09873667423408933
64,5.2559648752556236e-05,2.89225999774175,2.133641288067873,0,0,0.713190465729411,0.10328721149710984
65,5.203405226503067e-05,2.813698245184342,2.0856140675886374,0,0,0.7131904340371853,0.09767888337691746
66,5.1513711742380364e-05,2.788034390107694,2.0621357186956377,0,0,0.7131880896265914,0.09697950805423827
67,5.099857462495656e-05,2.798114883923317,2.1046000820625483,0,0,0.713188796043396,0.0971859011921759
68,5.0488588878706996e-05,2.9087298785275255,2.19879026893072,0,0,0.7131900046511395,0.10340301149229451
69,4.9983702989919924e-05,2.872853769952638,2.149018771453965,0,0,0.7131892902095144,0.10142329224635188
70,4.9483865960020725e-05,2.9075712839961736,2.168434243850955,0,0,0.7131900533815709,0.10304293747037285
71,4.898902730042052e-05,2.7968745048000185,2.0982528008048127,0,0,0.713188481156419,0.0966176809892967
72,4.8499137027416314e-05,2.8190380168531894,2.0901305466563236,0,0,0.7131889384548838,0.09712948834250977
73,4.801414565714215e-05,2.851979997194675,2.1131007498684453,0,0,0.7131898281632401,0.09889609938578271
74,4.753400420057073e-05,2.8501038045967575,2.111949881238908,0,0,0.7131888947254273,0.09997868479388516
75,4.705866415856502e-05,2.8652587668916176,2.120504992766896,0,0,0.7131892571216676,0.10076023803387836
76,4.658807751697937e-05,2.9258385488750243,2.232817996618588,0,0,0.71318723620438,0.10619598480577512
77,4.6122196741809574e-05,2.800417579493351,2.0755942294728467,0,0,0.7131902066091211,0.09753495691480434
78,4.566097477439148e-05,2.9164148405710693,2.1909141343286853,0,0,0.7131886679951738,0.10370340513065457
79,4.520436502664756e-05,2.9085618807705815,2.180454970488279,0,0,0.7131868020499624,0.10413126758595065
80,4.475232137638109e-05,2.8993248185498515,2.1688779760533716,0,0,0.7131874648536124,0.1033860312724804
81,4.430479816261728e-05,2.8811678590577827,2.1473064362203202,0,0,0.7131897551838945,0.10198702836590932
82,4.3861750180991104e-05,2.847639482227121,2.1093771395732355,0,0,0.7131886075764168,0.0992531482848089
83,4.3423132679181194e-05,2.848889679030475,2.1419843108843013,0,0,0.7131879491922332,0.09981668501410906
84,4.298890135238938e-05,2.8792370689006073,2.161828880033842,0,0,0.7131880715416699,0.10092685810403854
85,4.255901233886549e-05,2.8390600634869463,2.0910908203154075,0,0,0.7131889394434487,0.09914188297283723
86,4.213342221547683e-05,2.81565614996035,2.082937392963142,0,0,0.7131892935241141,0.09704484817776375
87,4.1712087993322064e-05,2.8761588871597175,2.162959674813035,0,0,0.7131895789867494,0.10088679140388239
88,4.1294967113388845e-05,2.8783767737711035,2.1796415028721094,0,0,0.7131867030771767,0.10099978930566733
89,4.0882017442254956e-05,2.8610505258248047,2.1380962011690547,0,0,0.7131887925543436,0.1004603173833613
90,4.04731972678324e-05,2.888273075558475,2.1428878582932236,0,0,0.7131876750690181,0.10247834909253004
91,4.006846529515408e-05,2.9155107401764813,2.1937777468157798,0,0,0.7131895582850386,0.10426003652374918
92,3.966778064220254e-05,2.8897606263448234,2.1450725067207,0,0,0.7131895376414787,0.10164337361322306
93,3.927110283578051e-05,2.8161315647995098,2.0957575714224723,0,0,0.7131895438054713,0.09894127876883964
94,3.8878391807422704e-05,2.8351556779905294,2.0978726208796044,0,0,0.7131877391512801,0.09941533525542515
95,3.8489607889348474e-05,2.89450866839941,2.177004034965322,0,0,0.713188796043396,0.10280628665145941
96,3.8104711810454986e-05,2.7732179236454875,2.0261788535163534,0,0,0.7131900583243952,0.09412636355973962
97,3.7723664692350434e-05,2.834545033581839,2.0986559362037154,0,0,0.7131899207975806,0.10013614459690161
98,3.734642804542693e-05,2.7991462680459405,2.0466250169513427,0,0,0.7131891845493782,0.09557616923004389
99,3.697296376497266e-05,2.847698792233265,2.1237808952953032,0,0,0.7131901907920838,0.09968733686090606
100,3.660323412732293e-05,2.8464164732779134,2.0990094557059247,2.8987146552881766,2.6235025780604166,0.7131890587108891,0.09918439711285074
101,3.62372017860497e-05,2.757404267950379,2.0274793926440178,2.8987146552881766,2.6235025780604166,0.7131882122667824,0.09322014330136703
102,3.5874829768189206e-05,2.861604315440672,2.1450897334525134,2.8987146552881766,2.6235025780604166,0.7131887363806003,0.10032258800117344
103,3.551608147050731e-05,2.8462244104783783,2.1035495534975355,2.8987146552881766,2.6235025780604166,0.7131887988346379,0.09831881140517752
104,3.516092065580224e-05,2.8778094034199526,2.1359565940571996,2.8987146552881766,2.6235025780604166,0.7131894209326768,0.1005681910493025
105,3.480931144924422e-05,2.8623644063330165,2.128122365002225,2.8987146552881766,2.6235025780604166,0.7131914382446103,0.10087850385640816
106,3.4461218334751775e-05,2.922445561112075,2.188138861785211,2.8987146552881766,2.6235025780604166,0.7131883877079661,0.10348598279513237
107,3.4116606151404254e-05,2.8077712236603665,2.109548422134504,2.8987146552881766,2.6235025780604166,0.7131876946658623,0.09706217971062515
108,3.377544008989021e-05,2.8231512459149064,2.080882984699636,2.8987146552881766,2.6235025780604166,0.7131895124621508,0.09778948613192613
109,3.343768568899131e-05,2.890740644240845,2.14765965924939,2.8987146552881766,2.6235025780604166,0.7131886370589093,0.10214411509427719
110,3.31033088321014e-05,2.875136727849469,2.152604367894734,2.8987146552881766,2.6235025780604166,0.7131872052681155,0.10126098681877299
111,3.277227574378038e-05,2.88997226859731,2.1640997803211213,2.8987146552881766,2.6235025780604166,0.7131888557061916,0.10237805012658965
112,3.244455298634257e-05,2.906409455859771,2.2012350022377127,2.8987146552881766,2.6235025780604166,0.713187885168122,0.10340467179966409
113,3.2120107456479144e-05,2.8268299129319074,2.1002240705144843,2.8987146552881766,2.6235025780604166,0.7131884753413317,0.09801820321372005
114,3.179890638191435e-05,2.836826068313734,2.1270054263021887,2.8987146552881766,2.6235025780604166,0.7131887834246565,0.09973083202840714
115,3.1480917318095206e-05,2.857822521508041,2.12448816687959,2.8987146552881766,2.6235025780604166,0.7131898731138648,0.09990449054075815
116,3.1166108144914254e-05,2.8901419172740654,2.148454711967852,2.8987146552881766,2.6235025780604166,0.7131884064906981,0.1024472740510615
117,3.085444706346511e-05,2.9072284094299135,2.1853329885060466,2.8987146552881766,2.6235025780604166,0.7131895268835673,0.10245497629228162
